title,address,price,beds,baths,sqft,url,type
"A Grade II listed, period house with lift and swimming pool.","Cranley Gardens, South Kensington, SW7","£13,950,000",6 bed,6 bath,"7,483 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/a-grade-ii-listed-period-house-with-lift-and-swimming-pool-lob280715,sale
An exceptional penthouse situated directly opposite Kensington Gardens.,"Palace Gate, London, W8","£5,000,000",4 bed,3 bath,"2,880 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/an-exceptional-penthouse-situated-directly-opposite-kensington-gardens-lob281352,sale
A minimalistic interior designed 21st-century house in Hampstead.,"Cannon Lane East Heath Road, Hampstead, NW3","£15,000,000",5 bed,5 bath,"7,940 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/a-minimalistic-interior-designed-21st-century-house-in-hampstead-lob281104,sale
An exceptional Georgian townhouse located in Prime Central London.,"Portland Place, Marylebone, W1B","£16,950,000",5 bed,6 bath,"8,174 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/an-exceptional-georgian-townhouse-located-in-prime-central-london-lob281452,sale
"An impressive interior designed 9,000 sq ft home with planning consent.","Lowndes Square, Belgravia, SW1X","£25,000,000",10 bed,10 bath,"12,700 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/an-impressive-interior-designed-9000-sq-ft-home-with-planning-consent-lob281287,sale
Raised ground floor two bedroom apartment beside Royal Albert Hall.,"Albert Court, London, SW7","£3,250,000",2 bed,3 bath,"1,978 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/raised-ground-floor-two-bedroom-apartment-beside-royal-albert-hall-lob281342,sale
A four bedroom apartment ideal for a family with a large private garden.,"Avenue Road, St John's Wood, NW8","£3,500,000",4 bed,3 bath,"2,191 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/a-four-bedroom-apartment-ideal-for-a-family-with-a-large-private-garden-lob281140,sale
A refurbished apartment with a private terrace overlooking London.,"Praed Street, Paddington, W2","£1,500,000",4 bed,3 bath,"1,605 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/a-refurbished-apartment-with-a-private-terrace-overlooking-london-lob281152,sale
An elegant apartment within a newly refurbished building.,"Prince Of Wales Terrace, Kensington, W8","£3,090/Week",2bed,2bath,837 sqft,https://www.beauchampestates.com/london/luxury-properties-for-rent-in-london/an-elegant-two-bedroom-apartment-within-a-newly-refurbished-building-with-two-private-balconies-located-a-few-minutes-walk-from-kensington-lor766646,rent
First-floor lateral apartment in Knightsbridge overlooking Hyde Park.,"Knightsbridge, Knightsbridge, SW1X","£3,400/Week",4bed,4bath,"2,160 sqft",https://www.beauchampestates.com/london/luxury-properties-for-rent-in-london/first-floor-lateral-apartment-in-knightsbridge-overlooking-hyde-park-lor581246,rent
"A spacious two bedroom Duplex apartment in Curzon Square, Mayfair.","Curzon Square, Mayfair, W1J","£2,500/Week",2bed,2bath,"1,781 sqft",https://www.beauchampestates.com/london/luxury-properties-for-rent-in-london/duplex-apartment-in-curzon-square-mayfair-near-hyde-park-lor753629,rent
A Grade II listed townhouse in Chelsea with river views.,"Cheyne Walk, Chelsea, SW3","£30,000/Week",8bed,6bath,"7,517 sqft",https://www.beauchampestates.com/london/luxury-properties-for-rent-in-london/a-grade-ii-listed-townhouse-in-chelsea-with-river-views-lor763019,rent
Contemporary apartment within newly built St John’s Wood development.,"St Johns Wood Road, Westminister, NW8","£1,038/Week",1bed,1bath,583 sqft,https://www.beauchampestates.com/london/luxury-properties-for-rent-in-london/contemporary-apartment-within-newly-built-st-johns-wood-development-lor753111,rent
Three bedroom apartment with private balcony and parking.,"Cecil Grove, St John's Wood, NW8","£1,270/Week",3bed,2bath,"1,049 sqft",https://www.beauchampestates.com/london/luxury-properties-for-rent-in-london/three-bedroom-apartment-with-private-balcony-and-parking-lor744970,rent
Duplex apartment in Cambridge Gate with views over Regent’s Park.,"Cambridge Gate, Regent's Park, NW1","£10,000/Week",4bed,6bath,"4,693 sqft",https://www.beauchampestates.com/london/luxury-properties-for-rent-in-london/duplex-apartment-in-cambridge-gate-with-views-over-regents-park-lor701585,rent
"One bedroom apartment with private balcony, St John’s Wood.","Cecil Grove, St John's Wood, NW8",£725/Week,1bed,1bath,583 sqft,https://www.beauchampestates.com/london/luxury-properties-for-rent-in-london/one-bedroom-apartment-with-private-balcony-st-johns-wood-lor743041,rent
A two bedroom split level Mayfair apartment with two private terraces.,"Duke Street, Mayfair, W1K","£3,500/Week",2bed,2bath,"1,518 sqft",https://www.beauchampestates.com/london/luxury-properties-for-rent-in-london/a-two-bedroom-split-level-mayfair-apartment-with-two-private-terraces-lor736166,rent
Stunning three bedroom duplex apartment in Southbank Tower.,"Upper Ground, Bankside, SE1","£6,500/Week",3bed,3bath,"2,208 sqft",https://www.beauchampestates.com/london/luxury-properties-for-rent-in-london/stunning-three-bedroom-duplex-apartment-in-southbank-tower-lor702063,rent
Modern two bedroom apartment with a conservatory and private terrace.,"Prince Of Wales Terrace, Kensington, W8","£2,785/Week",2bed,2bath,843 sqft,https://www.beauchampestates.com/london/luxury-properties-for-rent-in-london/modern-two-bedroom-apartment-with-a-conservatory-and-private-terrace-lor726997,rent
Two bedroom apartment with terrace and underground parking.,"Cecil Grove, St John's Wood, NW8",£875/Week,2bed,1bath,736 sqft,https://www.beauchampestates.com/london/luxury-properties-for-rent-in-london/two-bedroom-apartment-with-terrace-and-underground-parking-lor725750,rent
An elegant apartment that inspired James Bond's Blades club.,"Charles Street, Mayfair, W1J","£4,750/Week",2 bed,2 bath,"2,187 sqft",https://www.beauchampestates.com/london/luxury-properties-for-rent-in-london/an-elegant-apartment-that-inspired-james-bonds-blades-club-lor280914,rent
Penthouse in the Mayfair and the inspiration for Ian Fleming's spy.,"Charles Street, Mayfair, W1J","£7,150/Week",3 bed,4 bath,"2,329 sqft",https://www.beauchampestates.com/london/luxury-properties-for-rent-in-london/penthouse-in-the-mayfair-and-the-inspiration-for-ian-fleming-lor280897,rent
